mode,rouge-1,rouge-L,highlight-p,highlight-r,highlight-f1,source
A-ADD,0.0864702363732391,0.0607340017953572,0.2067456657657632,0.1258830347708827,0.1479995786485711,Original
A-ONLY,0.0483253799257202,0.0424360488479226,0.2749229155309406,0.0930443188821381,0.1326081592267212,Original
A-TAG,0.0635869783553075,0.0488603893964025,0.2065071833068928,0.1231848788604411,0.142705983125333,Original
B-TEXT,0.0373586753773502,0.0313295739201956,0.2575403891642092,0.0869918184248252,0.1224565299426959,Original
ORIGINAL,1.0,1.0,0.0909830545647693,0.6188640642542393,0.1292640785868764,Original
A_ONLY_BART_predictions1,0.5611796416651156,0.2844550673802112,0.0791738661121625,0.3036263196583567,0.1230001103854092,Gonzalo
A_ONLY_LED_predictions,0.112531802621953,0.0546327193472833,0.1983450777318431,0.0499177255196424,0.0712347832974152,Gonzalo
A_TAG_BART_LARGE_predictions,0.6418489836800105,0.3845011845440137,0.0540583251874808,0.2662634473461086,0.0841811357643261,Gonzalo
A_TAG_BART_predictions1,0.601846949449381,0.3570612395378728,0.0543848324277157,0.2995541794640005,0.0882276375233596,Gonzalo
A_TAG_LED_predictions,0.2658139532415747,0.1449210826659141,0.1582582656205121,0.0595995174004653,0.0706629589435838,Gonzalo
B_TEXT_BART_LARGE_predictions,0.6563517918352616,0.3523771830638873,0.0498484881208662,0.3383886701087038,0.0836369070986366,Gonzalo
B_TEXT_BART_predictions1,0.6210933124019637,0.3482410374750328,0.0571294181544039,0.3224917360973067,0.0923874581671967,Gonzalo
B_TEXT_LED_predictions,0.3393155186319186,0.1608471592485976,0.1716969280708076,0.1225330017134733,0.1159918000790607,Gonzalo
GPT_GRAPH,0.0471567267683772,0.0263522884882108,0.1818181818181818,0.0124610591900311,0.0233236151603498,GPT_Graph
