rouge-1,rouge-L,highlight-p,highlight-r,highlight-f1,doc_id,mode
1.0,1.0,0.0502283105022831,0.44594594594594594,0.09028727770177837,doc_82805800,ORIGINAL
0.0314344746162928,0.01638134592680047,0.15503875968992248,0.09009009009009009,0.11396011396011396,doc_82805800,B-TEXT
0.05696576151121606,0.025974025974025976,0.09813084112149532,0.0945945945945946,0.09633027522935782,doc_82805800,A-TAG
0.02626918536009445,0.015791027154663517,0.18181818181818182,0.07207207207207207,0.10322580645161292,doc_82805800,A-ONLY
0.057408500590318774,0.02744982290436836,0.13297872340425532,0.11261261261261261,0.1219512195121951,doc_82805800,A-ADD
1.0,1.0,0.08392434988179669,0.5182481751824818,0.14445574771108852,doc_7f962bd3,ORIGINAL
0.020010601643254706,0.013914656771799629,0.2222222222222222,0.06569343065693431,0.10140845070422534,doc_7f962bd3,B-TEXT
0.04068380598992844,0.023058574078982243,0.18787878787878787,0.11313868613138686,0.1412300683371298,doc_7f962bd3,A-TAG
0.027564272462231646,0.01789027299231381,0.23076923076923078,0.08759124087591241,0.126984126984127,doc_7f962bd3,A-ONLY
0.03882851842035515,0.022661012456930824,0.19548872180451127,0.0948905109489051,0.12776412776412774,doc_7f962bd3,A-ADD
1.0,1.0,0.16365740740740742,0.8590522478736331,0.2749368073109081,doc_a5d53741,ORIGINAL
0.015787099684258007,0.009730008376828404,0.36666666666666664,0.053462940461725394,0.09331919406150584,doc_a5d53741,B-TEXT
0.02397061666344481,0.014627231136026805,0.3588235294117647,0.07411907654921021,0.12286002014098693,doc_a5d53741,A-TAG
0.019331142470520007,0.013596236870932405,0.379746835443038,0.07290400972053462,0.12232415902140671,doc_a5d53741,A-ONLY
0.02957664797989561,0.016238159675236806,0.29767441860465116,0.07776427703523693,0.12331406551059729,doc_a5d53741,A-ADD
1.0,1.0,0.16666666666666666,0.003115264797507788,0.0061162079510703364,doc_4f60f16e,ORIGINAL
0.2,0.2,0.3626373626373626,0.102803738317757,0.16019417475728157,doc_4f60f16e,B-TEXT
0.3,0.3,0.34415584415584416,0.16510903426791276,0.2231578947368421,doc_4f60f16e,A-TAG
0.3,0.3,0.4186046511627907,0.11214953271028037,0.17690417690417692,doc_4f60f16e,A-ONLY
0.5,0.4,0.3216374269005848,0.17133956386292834,0.22357723577235772,doc_4f60f16e,A-ADD
1.0,1.0,0.04219409282700422,0.8955223880597015,0.08059100067159167,doc_2ffe3007,ORIGINAL
0.015435501653803748,0.011364600118734629,0.12643678160919541,0.08208955223880597,0.0995475113122172,doc_2ffe3007,B-TEXT
0.03502671529132389,0.020693749469934696,0.09004739336492891,0.1417910447761194,0.11014492753623188,doc_2ffe3007,A-TAG
0.013230429988974642,0.009922822491730982,0.13580246913580246,0.08208955223880597,0.10232558139534884,doc_2ffe3007,A-ONLY
0.034178610804851156,0.02077855991858197,0.09375,0.13432835820895522,0.11042944785276074,doc_2ffe3007,A-ADD
1.0,1.0,0.015347183230394908,0.8631578947368421,0.03015814637734461,doc_d96b139b,ORIGINAL
0.006483033427152842,0.004743682995477689,0.13,0.1368421052631579,0.13333333333333336,doc_d96b139b,B-TEXT
0.012080579361816514,0.008254008412131178,0.0797872340425532,0.15789473684210525,0.10600706713780918,doc_d96b139b,A-TAG
0.0055342968280573035,0.004427437462445843,0.15217391304347827,0.14736842105263157,0.1497326203208556,doc_d96b139b,A-ONLY
0.010847221782992316,0.007305271813035641,0.06077348066298342,0.11578947368421053,0.07971014492753623,doc_d96b139b,A-ADD
1.0,1.0,0.10981409424989191,0.8382838283828383,0.1941896024464832,doc_d0fe9934,ORIGINAL
0.01310085733551681,0.008862344668143724,0.3253012048192771,0.0891089108910891,0.13989637305699482,doc_d0fe9934,B-TEXT
0.03660533667276756,0.021963202003660535,0.20320855614973263,0.1254125412541254,0.15510204081632653,doc_d0fe9934,A-TAG
0.013293517002215587,0.01078894133513149,0.35714285714285715,0.08250825082508251,0.13404825737265416,doc_d0fe9934,A-ONLY
0.03699065600616511,0.02331181967055197,0.21693121693121692,0.1353135313531353,0.16666666666666666,doc_d0fe9934,A-ADD
1.0,1.0,0.07226107226107226,0.2273838630806846,0.10966981132075472,doc_31372ae6,ORIGINAL
0.02963841138114997,0.019956530329974312,0.2962962962962963,0.05867970660146699,0.09795918367346938,doc_31372ae6,B-TEXT
0.056708160442600276,0.0318118948824343,0.21568627450980393,0.08068459657701711,0.11743772241992884,doc_31372ae6,A-TAG
0.026476980833827306,0.018375815056312982,0.35135135135135137,0.06356968215158924,0.10766045548654243,doc_31372ae6,A-ONLY
0.06224066390041494,0.03556609365737996,0.2857142857142857,0.10757946210268948,0.15630550621669625,doc_31372ae6,A-ADD
1.0,1.0,0.12088407758231845,0.8,0.21003134796238246,doc_82703374,ORIGINAL
0.0154811292117778,0.011534959020540322,0.39080459770114945,0.10149253731343283,0.16113744075829384,doc_82703374,B-TEXT
0.03683092178488313,0.022665182636851158,0.3225806451612903,0.1791044776119403,0.23032629558541262,doc_82703374,A-TAG
0.02671253667914601,0.017605990083982597,0.3488372093023256,0.13432835820895522,0.1939655172413793,doc_82703374,A-ONLY
0.05150258018820196,0.030456339168268745,0.29107981220657275,0.18507462686567164,0.2262773722627737,doc_82703374,A-ADD
1.0,1.0,0.08485329103885805,0.7379310344827587,0.15220483641536273,doc_7f61e8bb,ORIGINAL
0.026215644820295984,0.016807610993657504,0.2,0.0896551724137931,0.12380952380952379,doc_7f61e8bb,B-TEXT
0.03699788583509514,0.019556025369978858,0.16477272727272727,0.1,0.12446351931330471,doc_7f61e8bb,A-TAG
0.024841437632135307,0.015961945031712475,0.19298245614035087,0.07586206896551724,0.10891089108910891,doc_7f61e8bb,A-ONLY
0.04312896405919662,0.023572938689217757,0.17142857142857143,0.12413793103448276,0.14400000000000002,doc_7f61e8bb,A-ADD
